# Domain: L_shaped (relative error of each of the first 1000 eigenvalues against its index, dense eig)
# Reference: DST at M = 163, dofs = 19845
# DST: M = 55, dofs = 2241, time = 0.3166 s
# FD: M = 55, dofs = 2241, time = 0.3160 s
# FEM: Hmax = 0.0755, dofs = 2257, time = 0.8483 s
k,lambda_ref,lambda_DST,rel_error_DST,lambda_FD,rel_error_FD,lambda_FEM,rel_error_FEM
99,478.85399485608372,478.86660803106531,2.6340335712112466e-05,462.22222018854393,0.034732454665097556,481.46843103366876,0.0054597773134811151
100,479.67446331413009,479.65133403172916,4.8218706997923304e-05,462.3275887401158,0.036163848402857628,482.21441428961884,0.0052951557144399882
101,485.8535111454384,486.26999449067591,0.00085721999673444053,464.92689560943103,0.043071862312307287,488.65540288231034,0.0057669475934551831
102,490.15616565019076,490.09330925289333,0.0001282374918492448,467.65817016536141,0.045899648033572771,492.9862591725348,0.0057738609053094997
103,493.48022005446848,493.48022005446285,1.1403696112883414e-14,469.11582198688114,0.049372593018820653,496.27662904500448,0.0056667093773836597
104,493.48022005447808,493.48022005446938,1.762389399263766e-14,469.11582198688495,0.049372593018831443,496.33575937611454,0.0057865324801087614
105,493.48022005451793,493.48022005448257,7.1647464466795672e-14,477.74681777710526,0.031882538829366848,496.36731491794234,0.0058504773769968996
106,499.36672135249285,499.77470087141103,0.00081699380730298565,480.67291122010607,0.037435033880023394,502.38330116582665,0.0060408106594761713
107,502.29981004604764,502.27913147631216,4.1167783307711473e-05,482.29881660325623,0.03981883537036944,505.36467127920525,0.0061016571614403914
108,512.61509424997223,512.63706268982912,4.2855624236025422e-05,490.76279927084909,0.042629050966780671,515.87647407697295,0.006362239160695375
109,513.21942885664271,513.21942885665396,2.1930184832468296e-14,491.10467357841509,0.043090253475974546,516.36566752466638,0.0061303966512587108
110,513.21942885684302,513.21942885665715,3.6218032526335016e-13,497.36905061912563,0.030884213158147378,516.40380884849128,0.0062047144215510684
111,513.56771615842626,513.51090103004663,0.00011062830974779034,497.369050619137,0.031541440455911118,516.8621570866942,0.0064148131290473424
112,523.08903325766812,523.08903325772928,1.169275492420827e-13,498.56960079838979,0.046874300358731323,526.47216651880888,0.0064676050271431718
113,523.08903325786207,523.08903325773497,2.4298327147323419e-13,498.56960079839138,0.046874300359081682,526.54177161560415,0.0066006705134649905
114,530.41717788237304,530.41082916538164,1.1969289940313458e-05,514.99929035454204,0.029067474001096768,533.83919211312184,0.0064515524259805869
115,536.75829018409445,537.37158074474507,0.0011425823724870324,517.36718114323037,0.036126333575981516,540.50670745855803,0.0069834362002643034
116,545.12638941489183,545.19356356800085,0.00012322674963713084,522.68504961786039,0.041167223294984352,548.81740246852428,0.0067709307883519875
117,546.23637874427641,546.21594859502773,3.7401663535570771e-05,524.50934630323059,0.039775879612766421,549.97502008290633,0.0068443653409253867
118,559.2865773474947,559.15103844971327,0.00024234248285421892,532.49138561635209,0.047909591998833684,563.51480282458408,0.00756003388663896
119,563.83343355139868,563.89612219340393,0.00011118291019102335,532.86794688957161,0.054919564572086126,567.98871301804547,0.0073696932806450836
120,565.02773193529663,565.05356742979768,4.5724294651100236e-05,539.92035974537316,0.044435645846845978,569.30126382308038,0.0075634020177139287
121,565.47969000478179,565.46437636563485,2.7080794266562156e-05,546.25767455999596,0.033992406419801356,569.76498258921345,0.0075781547245232124
122,572.43705526316569,572.43705526317945,2.4030777249371922e-14,547.24750517596601,0.044004052245743108,576.78082347071222,0.0075882023492514425
123,572.43705526335918,572.43705526318763,2.9968961048999977e-13,547.24750517598079,0.044004052246040433,576.8477580566904,0.0077051315123232086
124,575.78947562877818,576.12642571637673,0.00058519667666831422,554.61183247813437,0.036780184506702257,580.27099291340016,0.0077832566837524163
125,578.19270407255624,578.18524837013433,1.2894840023736994e-05,557.57205723989455,0.035663969274288956,582.66234647818305,0.0077303680488260322
126,591.64408152019314,591.64142829020534,4.4845035565683691e-06,560.21004698758998,0.05312997377043871,596.56489695556377,0.0083171886427510517
127,592.00270666018412,592.14776118093528,0.00024502340803387982,560.57932710987563,0.053079790340123965,596.98392345791331,0.0084141790935906326
128,602.04586846626216,602.04586846643645,2.8948279750050954e-13,580.16908659080093,0.036337400555863424,606.94704074164247,0.0081408619045360321
129,602.04586846645827,602.04586846645748,1.3218392579927637e-15,582.41974401606751,0.032599051797137596,607.20470089648802,0.0085688361970997582
130,605.55355144522014,605.81785091777635,0.00043645928906772623,582.42469110016941,0.038194574682703382,610.720981011807,0.0085333981680963192
131,609.57892585542243,609.51472657923625,0.00010531741414137974,582.42469110018669,0.044545888323042307,614.65144957378664,0.0083213567648289903
132,630.53662673437759,631.49839810466165,0.0015253219710093294,592.71507488618556,0.059983116356101686,636.48690952946527,0.0094368551211765107
133,634.18654427089291,634.15938563938971,4.2824357830583959e-05,595.93879871694128,0.060309929151719906,640.09616921732413,0.0093184331957489857
134,636.95201923820071,636.98637603807106,5.3939384494679822e-05,600.2272455728986,0.057657048813857609,642.83924475518472,0.0092428084677793811
135,641.52428607087768,641.52428607078798,1.3982154208335742e-13,600.2272455729036,0.064373308064305218,647.45419886367608,0.0092434735855709271
136,641.52428607090724,641.52428607080572,1.5825175802336175e-13,605.82491910211229,0.055647724870152647,647.53437945389999,0.0093684580825494392
137,641.52428607102058,641.52428607080697,3.3298438222378971e-13,606.80029473014326,0.054127321591427899,647.59966023667255,0.0094702169466728253
